Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Total_Rating
Wii,2006,Sports,Nintendo,41.36,28.96,3.77,8.45,82.53,76.0,51.0,8.0,322.0,E,78.0
NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,71.0,22.0,7.5,24.0,Unknown,73.0
Wii,2008,Racing,Nintendo,15.68,12.76,3.79,3.29,35.52,82.0,73.0,8.3,709.0,E,82.5
Wii,2009,Sports,Nintendo,15.61,10.93,3.28,2.95,32.77,80.0,73.0,8.0,192.0,E,80.0
GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,71.0,22.0,7.5,24.0,Unknown,73.0
GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,71.0,22.0,7.5,24.0,Unknown,73.0
DS,2006,Platform,Nintendo,11.28,9.14,6.5,2.88,29.8,89.0,65.0,8.5,431.0,E,87.0
Wii,2006,Misc,Nintendo,13.96,9.18,2.93,2.84,28.92,58.0,41.0,6.6,129.0,E,62.0
Wii,2009,Platform,Nintendo,14.44,6.94,4.7,2.24,28.32,87.0,80.0,8.4,594.0,E,85.5
NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,71.0,22.0,7.5,24.0,Unknown,73.0
DS,2005,Simulation,Nintendo,9.05,10.95,1.93,2.74,24.67,71.0,22.0,7.5,24.0,Unknown,73.0
DS,2005,Racing,Nintendo,9.71,7.47,4.13,1.9,23.21,91.0,64.0,8.6,464.0,E,88.5
GB,1999,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,71.0,22.0,7.5,24.0,Unknown,73.0
Wii,2007,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7,80.0,63.0,7.7,146.0,E,78.5
X360,2010,Misc,Microsoft Game Studios,15.0,4.89,0.24,1.69,21.81,61.0,45.0,6.3,106.0,E,62.0
Wii,2009,Sports,Nintendo,9.01,8.49,2.53,1.77,21.79,80.0,33.0,7.4,52.0,E,77.0
PS3,2013,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,97.0,50.0,8.2,3994.0,M,89.5
PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95.0,80.0,9.0,1588.0,M,92.5
SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,71.0,22.0,7.5,24.0,Unknown,73.0
DS,2005,Misc,Nintendo,4.74,9.2,4.16,2.04,20.15,77.0,58.0,7.9,50.0,E,78.0
DS,2006,Role-Playing,Nintendo,6.38,4.46,6.04,1.36,18.25,71.0,22.0,7.5,24.0,Unknown,73.0
GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,71.0,22.0,7.5,24.0,Unknown,73.0
NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,71.0,22.0,7.5,24.0,Unknown,73.0
X360,2013,Action,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,97.0,58.0,8.1,3711.0,M,89.0
PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95.0,62.0,8.7,730.0,M,91.0
GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,71.0,22.0,7.5,24.0,Unknown,73.0
DS,2005,Puzzle,Nintendo,3.43,5.35,5.32,1.18,15.29,77.0,37.0,7.1,19.0,E,74.0
DS,2010,Role-Playing,Nintendo,5.51,3.17,5.65,0.8,15.14,71.0,22.0,7.5,24.0,Unknown,73.0
PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95.0,54.0,8.4,314.0,E,89.5
X360,2011,Shooter,Activision,9.04,4.24,0.13,1.32,14.73,88.0,81.0,3.4,8713.0,M,61.0
GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,71.0,22.0,7.5,24.0,Unknown,73.0
PS4,2015,Shooter,Activision,6.03,5.86,0.36,2.38,14.63,71.0,22.0,7.5,24.0,Unknown,73.0
X360,2010,Shooter,Activision,9.7,3.68,0.11,1.13,14.61,87.0,89.0,6.3,1454.0,M,75.0
3DS,2013,Role-Playing,Nintendo,5.28,4.19,4.35,0.78,14.6,71.0,22.0,7.5,24.0,Unknown,73.0
PS3,2012,Shooter,Activision,4.99,5.73,0.65,2.42,13.79,83.0,21.0,5.3,922.0,M,68.0
X360,2012,Shooter,Activision,8.25,4.24,0.07,1.12,13.67,83.0,73.0,4.8,2256.0,M,65.5
X360,2009,Shooter,Activision,8.52,3.59,0.08,1.28,13.47,94.0,100.0,6.3,2698.0,M,78.5
PS3,2011,Shooter,Activision,5.54,5.73,0.49,1.57,13.32,88.0,39.0,3.2,5234.0,M,60.0
PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,97.0,56.0,8.5,664.0,M,91.0
Wii,2008,Fighting,Nintendo,6.62,2.55,2.66,1.01,12.84,93.0,81.0,8.9,1662.0,T,91.0
3DS,2011,Racing,Nintendo,5.03,4.02,2.69,0.91,12.66,85.0,73.0,8.2,632.0,E,83.5
PS3,2010,Shooter,Activision,5.99,4.37,0.48,1.79,12.63,88.0,58.0,6.4,1094.0,M,76.0
PS4,2014,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,97.0,66.0,8.3,2899.0,M,90.0
DS,2005,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,86.0,57.0,8.7,242.0,E,86.5
X360,2007,Shooter,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,94.0,86.0,7.8,4100.0,M,86.0
N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,71.0,22.0,7.5,24.0,Unknown,73.0
DS,2009,Action,Nintendo,4.34,2.71,3.96,0.76,11.77,71.0,22.0,7.5,24.0,Unknown,73.0
3DS,2014,Role-Playing,Nintendo,4.35,3.49,3.1,0.74,11.68,71.0,22.0,7.5,24.0,Unknown,73.0
PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,89.0,74.0,8.5,272.0,E,87.0
Wii,2007,Platform,Nintendo,6.06,3.35,1.2,0.74,11.35,97.0,73.0,8.9,2147.0,E,93.0
GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,71.0,22.0,7.5,24.0,Unknown,73.0
X360,2008,Action,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,98.0,86.0,7.9,2951.0,M,88.5
PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96.0,16.0,8.7,138.0,E,91.5
3DS,2011,Platform,Nintendo,4.89,3.0,2.14,0.78,10.81,90.0,82.0,8.4,921.0,E,87.0
PS3,2010,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1112.0,E,79.5
PS3,2009,Shooter,Activision,4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2073.0,M,78.5
SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,71.0,22.0,7.5,24.0,Unknown,73.0
PS3,2008,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,98.0,64.0,7.5,2833.0,M,86.5
GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,71.0,22.0,7.5,24.0,Unknown,73.0
DS,2004,Platform,Nintendo,5.01,3.07,1.25,0.97,10.3,71.0,22.0,7.5,24.0,Unknown,73.0
X360,2013,Shooter,Activision,6.73,2.56,0.04,0.91,10.25,73.0,29.0,2.6,2117.0,M,49.5
